centreName,apiId,month,u2,o2,total
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-01,71,23,32
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-02,79,32,41
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-03,87,35,45
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-04,82,35,44
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-05,100,34,46
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-06,101,37,50
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-07,112,40,54
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-08,79,49,54
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-09,87,49,56
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-10,83,48,55
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-11,93,48,57
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2024-12,75,53,57
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2025-01,74,56,60
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2025-02,60,60,60
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2025-03,54,58,57
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2025-04,53,66,63
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2025-05,54,64,62
Livingstone Drive,73668a22-78b9-4b92-b7d0-2e1aaae62f90,2025-06,53,64,62
Papamoa Beach,820b4c7b-b24e-464f-9d08-a83f273368ac,2024-01,78,87,85
Papamoa Beach,820b4c7b-b24e-464f-9d08-a83f273368ac,2024-02,91,88,89
Papamoa Beach,820b4c7b-b24e-464f-9d08-a83f273368ac,2024-03,97,90,91
Papamoa Beach,820b4c7b-b24e-464f-9d08-a83f273368ac,2024-04,94,93,93
Papamoa Beach,820b4c7b-b24e-464f-9d08-a83f273368ac,2024-05,98,89,91
Papamoa Beach,820b4c7b-b24e-464f-9d08-a83f273368ac,2024-06,98,88,90
